LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1978,IDX,Index,0,Units,2015_100,2015=100,28.9439
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1979,IDX,Index,0,Units,2015_100,2015=100,31.59073
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1980,IDX,Index,0,Units,2015_100,2015=100,34.79062
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1981,IDX,Index,0,Units,2015_100,2015=100,39.12958
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1982,IDX,Index,0,Units,2015_100,2015=100,43.34343
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1983,IDX,Index,0,Units,2015_100,2015=100,45.88491
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1984,IDX,Index,0,Units,2015_100,2015=100,47.86015
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1985,IDX,Index,0,Units,2015_100,2015=100,49.75639
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1986,IDX,Index,0,Units,2015_100,2015=100,51.84356
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1987,IDX,Index,0,Units,2015_100,2015=100,54.10192
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1988,IDX,Index,0,Units,2015_100,2015=100,56.28127
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1989,IDX,Index,0,Units,2015_100,2015=100,59.08612
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1990,IDX,Index,0,Units,2015_100,2015=100,61.91072
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1991,IDX,Index,0,Units,2015_100,2015=100,65.39373
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,66.36819
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,67.606
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,67.71793
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,69.17303
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,70.25941
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,71.39848
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,72.10956
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,73.36055
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,75.35555
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,77.25836
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,79.00316
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,81.18251
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,82.69028
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,84.52068
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,86.2128
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,88.05636
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,90.14353
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,90.41348
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,92.02002
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,94.69976
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,96.13511
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,97.03713
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,98.88728
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,101.4288
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,103.0485
